web-scraper-order,web-scraper-start-url,Paginacja,Tytuł,Teksty
"1688744934-192","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-helter-skelter.htm","""Helter Skelter""","When I get to the bottom 

        I go back to the top of the slide 

        Where I stop and turn 

        and I go for a ride 

        Till I get to the bottom and I see you again 

        Yeah, yeah, yeah 

        Do you don't you want me to love you 

        I'm coming down fast but I'm miles above you 

        Tell me tell me come on tell me the answer 

        and you may be a lover but you ain't no dancer"
"1688744937-193","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-help.htm","""Help!""","(Help) I need somebody 

        (Help) Not just anybody 

        (Help) You know I need someone 

        (Help)"
"1688744940-194","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-hello-goodbye.htm","""Hello, Goodbye""","You say yes, I say no 

        You say stop and I say go, go, go 

        Oh, no 

        You say goodbye and I say hello 

        Hello, hello 

        I don't know why you say goodbye 

        I say hello 

        Hello, hello 

        I don't know why you say goodbye 

        I say hello"
"1688744946-195","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-have-a-banana.htm","""Have A Banana!""","Lyrics go here"
"1688744949-196","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-happiness-is-a-warm-gun.htm","""Happiness Is A Warm Gun""","She's not a girl who misses much 

        Do do do do do do 

        oh, yeah 

        She's well acquainted with 

        the touch of the velvet hand 

        Like a lizard on a window pain 

        The man in the crowd with the 

        multicolored mirror on his hobnail boots 

        Lying with his eyes while his 

        hands are busy working overtime 

        A soap impression of his wife which 

        he ate and donated to the National Trust"
"1688744952-197","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-hallelujah-i-love-her-so.htm","""Hallelujah I Love Her So""","Let me tell you 'bout a girl I know,

She's my baby and I love her so.

Every morning when the sun comes up,

She brings me coffee in my favourite cup.

Then I know, yes I know,

Hallelujah, I just love her so.



When I call her on the telephone,

""Hear me, baby, I'm all alone.""

Before I'm countin' from one to four

She'll be knocking on the door.



In the evening when the sun goes down,

And there ain't nobody else around.

She kisses me and then she holds me tight,

Says, ""Baby, everything's alright"".

That's why I know, that's why I know,

Hallelujah, I just love her so.

Hallelujah, I just love her so.

Hallelujah, I just love that chick so."
"1688744955-198","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-got-to-get-you-into-my-life.htm","""Got To Get You Into My Life""","I was alone, I took a ride 

        I didn't know what I would find there 

        Another road where maybe I 

        could see another kind of mind there 

        Ooo, then I suddenly see you 

        Ooo, did I tell you I need you 

        Every single day of my life"
"1688744958-199","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-good-night.htm","""Good Night""","Now it's time to say good night 

        good night sleep tight 

        Now the sun turns out his light 

        good night sleep tight 

        Dream sweet dreams for me 

        Dream sweet dreams for you"
"1688744961-200","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-good-morning-good-morning.htm","""Good Morning, Good Morning""","Good morning good morning 

        good morning good morning 

        good morning, a"
"1688744964-201","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-good-day-sunshine.htm","""Good Day Sunshine""","Good day sunshine 

        Good day sunshine 

        Good day sunshine"
